id,timestamp_utc,i_value
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 07:50:57.172,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 07:56:01.972,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 07:58:04.182,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 08:00:03.582,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 08:03:02.592,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 08:04:12.592,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 08:06:01.192,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 08:40:12.432,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 09:40:12.542,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 10:40:12.611,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 11:40:12.724,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 12:40:12.892,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 13:46:04.092,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 14:40:16.322,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 15:40:15.432,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 16:40:15.552,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 17:40:14.62,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 18:40:13.735,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 19:40:13.85,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 20:40:13.969,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 21:40:17.132,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 22:40:14.242,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-24 23:40:14.321,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 00:40:14.482,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 01:40:15.554,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 02:40:15.712,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 03:15:31.332,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 03:40:22.542,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 04:40:18.662,3055
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 05:08:34.676,3056
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 05:23:04.182,3056
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 06:04:05.262,3056
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 06:19:12.417,3057
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 06:40:21.502,3057
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 07:11:59.582,3057
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 07:40:21.812,3057
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 08:40:17.932,3057
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 09:01:00.202,3057
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 09:40:15.205,3057
